trial,"0,78-0,85","0,8-0,9","0,7-0,8","0,6-0,7","0,6-0,8","0,7-0,9","0,65-0,85","0,71-0,81","0,71-0,79","0,73-0,77","0,68-0,82",Should be
1,149,154,92,1,92,69,90,103,81,55,94,100
2,214,273,99,1,98,179,171,115,73,39,130,100
3,85,161,31,0,31,130,73,44,22,11,53,20
4,198,225,118,2,116,116,133,127,97,57,125,100
5,192,241,100,1,99,147,136,116,91,54,123,100
6,254,273,148,9,139,144,157,162,145,92,148,100
total,1092,1327,588,14,575,785,760,667,509,308,673,520
